Plant Name,Growing Time (Days),Ideal Temperature (°C),Ideal Humidity (%),Amount of Produce,Recommended Water (Liters/Week),Average Plant Height (cm),Drought Tolerance
Tomato,60,21-29,40-70,10-20 kg,3.78541-7.57082 liters,100,Medium
Carrot,70,10-25,60-80,1-2 kg,1.89271-3.78541 liters,30,High
Lettuce,50,10-24,40-60,0.5-1 kg,1.89271-3.78541 liters,20,Low
Cucumber,60,21-29,60-70,5-10 kg,3.78541-7.57082 liters,150,Medium
Spinach,40,10-24,50-70,0.3-0.5 kg,1.1355-1.89271 liters,30,High
Bell Pepper,70,21-29,40-70,2-4 kg,3.78541-7.57082 liters,60,Medium
Broccoli,70,18-23,40-60,0.5-1 kg,1.89271-3.78541 liters,60,Medium
Cabbage,70,10-22,40-70,3-5 kg,3.78541-7.57082 liters,60,Medium
Onion,100,13-24,40-70,1-2 kg,1.89271-3.78541 liters,30,Medium
Strawberry,60,15-25,50-70,0.5-1 kg,1.89271-3.78541 liters,20,Medium
Potato,80,15-25,70-80,5-10 kg,3.78541-7.57082 liters,60,Medium
Zucchini,50,21-29,50-70,3-6 kg,1.89271-5.67813 liters,60,Medium
Green Bean,60,21-29,50-70,2-4 kg,3.78541-7.57082 liters,60,Medium
Radish,30,10-25,40-60,0.3-0.5 kg,1.1355-1.89271 liters,20,High
Watermelon,80,21-32,60-80,10-20 kg,7.57082-15.1416 liters,200,Medium
Pumpkin,90,21-32,60-80,5-10 kg,7.57082-15.1416 liters,60,Medium
Sweet Corn,70,18-32,50-70,3-6 kg,3.78541-7.57082 liters,150,Medium
Cauliflower,70,10-22,40-70,0.5-1 kg,1.89271-3.78541 liters,60,Medium
Eggplant,70,21-29,40-70,2-4 kg,3.78541-7.57082 liters,60,Medium
Cilantro,40,15-27,40-60,0.1-0.2 kg,0.378541-0.757082 liters,30,High
Cantaloupe,90,21-32,60-80,5-10 kg,7.57082-15.1416 liters,100,Medium
Garlic,90,10-25,40-70,0.5-1 kg,1.89271-3.78541 liters,30,Medium
Kale,55,10-24,40-60,0.5-1 kg,1.89271-3.78541 liters,60,Medium
Peas,70,10-24,40-60,2-4 kg,3.78541-7.57082 liters,60,Medium
Beetroot,60,10-24,40-70,1-2 kg,1.89271-3.78541 liters,30,High
Raspberry,80,15-27,50-70,0.5-1 kg,1.89271-3.78541 liters,120,Medium
Blueberry,90,10-29,40-70,0.5-1 kg,1.89271-3.78541 liters,150,Medium
Mint,60,18-27,40-60,0.1-0.2 kg,0.378541-0.757082 liters,30,Low
Parsley,70,10-24,40-60,0.1-0.2 kg,0.378541-0.757082 liters,30,Low
Cherry,70,21-29,40-70,1-2 kg,1.89271-3.78541 liters,60,Medium
Grapes,100,15-25,50-80,5-10 kg,7.57082-15.1416 liters,200,Low
Squash,50,21-32,50-70,5-10 kg,7.57082-15.1416 liters,60,Medium
Artichoke,85,13-24,40-70,0.5-1 kg,1.89271-3.78541 liters,120,Medium
Asparagus,80,18-24,40-60,0.5-1 kg,1.89271-3.78541 liters,150,Low
Brussels Sprouts,90,13-24,40-70,0.5-1 kg,1.89271-3.78541 liters,60,Medium
Celery,120,15-21,60-80,0.5-1 kg,1.89271-3.78541 liters,60,Low
Collard Greens,70,15-27,40-60,0.5-1 kg,1.89271-3.78541 liters,60,Low
Green Onion,60,15-27,40-70,0.1-0.2 kg,0.378541-0.757082 liters,30,Low
Honeydew Melon,100,18-32,60-80,5-10 kg,7.57082-15.1416 liters,100,Medium
Kiwi,150,18-24,60-80,1-2 kg,1.89271-3.78541 liters,150,Medium
Lima Beans,70,18-29,40-70,2-4 kg,3.78541-7.57082 liters,60,Medium
Mango,120,24-32,60-80,5-10 kg,7.57082-15.1416 liters,200,Medium
Peach,100,15-27,40-70,1-2 kg,1.89271-3.78541 liters,100,Medium
Pear,120,15-24,50-80,2-4 kg,3.78541-7.57082 liters,120,Medium
Pineapple,180,21-32,60-80,2-4 kg,3.78541-7.57082 liters,100,Medium
Pomegranate,150,21-29,40-70,1-2 kg,1.89271-3.78541 liters,120,Medium
Rhubarb,150,10-24,40-60,0.5-1 kg,1.89271-3.78541 liters,60,Low
Tomatillo,75,21-29,40-70,2-4 kg,3.78541-7.57082 liters,100,Medium
Turnip,50,10-24,40-70,0.5-1 kg,1.89271-3.78541 liters,60,Medium
Watercress,60,10-24,50-70,0.1-0.2 kg,0.378541-0.757082 liters,30,Low
